"sample_id","status","source_name_ch1","characteristics_ch1","characteristics_ch1.1"
"51","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"52","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"53","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"54","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"55","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"56","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"57","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"58","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"59","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"60","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"61","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"62","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"63","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"64","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"65","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"66","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"67","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"68","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"69","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"70","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"71","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"72","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"73","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"74","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"75","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"76","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"77","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"78","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"79","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"80","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"81","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"82","Public on May 09 2019","Liver","tissue: Liver","patient group: 3"
"83","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"84","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"85","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"86","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"87","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"88","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"89","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"90","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"91","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"92","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"93","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"94","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"95","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"96","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"97","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"98","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"99","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"100","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"101","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"102","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"103","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"104","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"105","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"106","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"107","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"108","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"109","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"110","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
"111","Public on May 09 2019","Liver","tissue: Liver","patient group: 4"
