"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","relation.2","supplementary_file_1","common name:ch1","generation and f0-treatment:ch1","Sex:ch1","tissue:ch1"
"F12O1, liver, RNA-Seq","GSM5412638","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560793","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987918","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326463","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412638/suppl/GSM5412638_Cufflinks_F12O1.tabular.txt.gz","tropical clawed frog","F1 generation control","female",NA
"F12O2, liver, RNA-Seq","GSM5412639","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560794","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987917","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326464","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412639/suppl/GSM5412639_Cufflinks_F12O2.tabular.txt.gz","tropical clawed frog","F1 generation control","female",NA
"F12O3, liver, RNA-Seq","GSM5412640","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560795","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987916","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326465","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412640/suppl/GSM5412640_Cufflinks_F12O3.tabular.txt.gz","tropical clawed frog","F1 generation control","female",NA
"F12O4, liver, RNA-Seq","GSM5412641","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560796","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987915","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326466","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412641/suppl/GSM5412641_Cufflinks_F12O4.tabular.txt.gz","tropical clawed frog","F1 generation control","female",NA
"F12O6, liver, RNA-Seq","GSM5412642","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560797","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987914","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326467","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412642/suppl/GSM5412642_Cufflinks_F12O6.tabular.txt.gz","tropical clawed frog","F1 generation control","female",NA
"F22O1, liver, RNA-Seq","GSM5412643","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560804","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987913","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326468","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412643/suppl/GSM5412643_Cufflinks_F22O1.tabular.txt.gz","tropical clawed frog","F2 generation control","female",NA
"F22O2, liver, RNA-Seq","GSM5412644","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560805","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987912","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326469","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412644/suppl/GSM5412644_Cufflinks_F22O2.tabular.txt.gz","tropical clawed frog","F2 generation control","female",NA
"F22O3, liver, RNA-Seq","GSM5412645","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560806","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987911","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326470","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412645/suppl/GSM5412645_Cufflinks_F22O3.tabular.txt.gz","tropical clawed frog","F2 generation control","female",NA
"F22O4, liver, RNA-Seq","GSM5412646","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560807","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987930","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326471","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412646/suppl/GSM5412646_Cufflinks_F22O4.tabular.txt.gz","tropical clawed frog","F2 generation control","female",NA
"F22O5, liver, RNA-Seq","GSM5412647","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation control","Sex: female","","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","Reanalysis of: GSM4560808","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987929","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326472","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412647/suppl/GSM5412647_Cufflinks_F22O5.tabular.txt.gz","tropical clawed frog","F2 generation control","female",NA
