"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","data_processing.6","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","diet:ch1","genotype:ch1","Sex:ch1","strain:ch1","tissue:ch1"
"KO_NDF_3","GSM4079570","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749012","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849646","NONE","normal chow","Cyp2b9/10/13-null (KO)","female","C57BL/6","liver"
"KO_NDF_4","GSM4079571","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749011","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849647","NONE","normal chow","Cyp2b9/10/13-null (KO)","female","C57BL/6","liver"
"KO_CDF_1","GSM4079572","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749010","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849648","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","Cyp2b9/10/13-null (KO)","female","C57BL/6","liver"
"KO_CDF_2","GSM4079573","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749009","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849649","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","Cyp2b9/10/13-null (KO)","female","C57BL/6","liver"
"KO_CDF_3","GSM4079574","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749008","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849650","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","Cyp2b9/10/13-null (KO)","female","C57BL/6","liver"
"KO_CDF_4","GSM4079575","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749007","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849651","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","Cyp2b9/10/13-null (KO)","female","C57BL/6","liver"
"WT_NDM_1","GSM4079576","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749006","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849652","NONE","normal chow","wild type (WT)","male","C57BL/6","liver"
"WT_NDM_2","GSM4079577","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749037","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849653","NONE","normal chow","wild type (WT)","male","C57BL/6","liver"
"WT_NDM_3","GSM4079578","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749036","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849654","NONE","normal chow","wild type (WT)","male","C57BL/6","liver"
"WT_NDM_4","GSM4079579","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749035","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849655","NONE","normal chow","wild type (WT)","male","C57BL/6","liver"
"WT_CDM_1","GSM4079580","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749034","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849656","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","wild type (WT)","male","C57BL/6","liver"
"WT_CDM_2","GSM4079581","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749033","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849657","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","wild type (WT)","male","C57BL/6","liver"
"WT_CDM_3","GSM4079582","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749032","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849658","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","wild type (WT)","male","C57BL/6","liver"
"WT_CDM_4","GSM4079583","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749031","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849659","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","wild type (WT)","male","C57BL/6","liver"
"KO_NDM_1","GSM4079584","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749030","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849660","NONE","normal chow","Cyp2b9/10/13-null (KO)","male","C57BL/6","liver"
"KO_NDM_2","GSM4079585","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: male","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749029","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849661","NONE","normal chow","Cyp2b9/10/13-null (KO)","male","C57BL/6","liver"
