"sample_id","status","source_name_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","contact_state"
"35","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week3","Delhi"
"36","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week3","Delhi"
"37","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week3","Delhi"
"38","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week3","Delhi"
"39","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week3","Delhi"
"40","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week3","Delhi"
"41","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week3","Delhi"
"42","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week3","Delhi"
"43","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week3","Delhi"
"44","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week3","Delhi"
"45","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week6","Delhi"
"46","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week6","Delhi"
"47","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week6","Delhi"
"48","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"49","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"50","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"51","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"52","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"53","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"54","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"55","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"56","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week6","Delhi"
"57","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week6","Delhi"
"58","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week6","Delhi"
"59","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week6","Delhi"
"60","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week9","Delhi"
"61","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week9","Delhi"
"62","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week9","Delhi"
"63","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"64","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"65","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"66","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"67","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"68","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"69","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"70","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"71","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week9","Delhi"
"72","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week9","Delhi"
"73","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week9","Delhi"
"74","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week9","Delhi"
"75","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week12","Delhi"
"76","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week12","Delhi"
"77","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week12","Delhi"
"78","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"79","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"80","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"81","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"82","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"83","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"84","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"85","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"86","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week12","Delhi"
"87","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week12","Delhi"
"88","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week12","Delhi"
"89","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week12","Delhi"
"90","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week15","Delhi"
"91","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week15","Delhi"
"92","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week15","Delhi"
"93","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"94","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"95","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"96","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"97","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"98","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"99","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"100","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"101","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week15","Delhi"
"102","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week15","Delhi"
"103","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week15","Delhi"
"104","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week15","Delhi"
"105","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week18","Delhi"
"106","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week18","Delhi"
"107","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week18","Delhi"
"108","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"109","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"110","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"111","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"112","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"113","Public on Nov 12 2014","HF5_Liver","strain: C57BL/6J","fed with: High fat+5µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"114","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"115","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"116","Public on Nov 12 2014","HF75_Liver","strain: C57BL/6J","fed with: High fat+75µg of KAL diet","tissue: liver","time point: Week18","Delhi"
"117","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week18","Delhi"
"118","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week18","Delhi"
"119","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week18","Delhi"
